country,year,sex,age,suicides_no,population,suicide_rate,gdp_per_capita 
Norway,2012,male,15-24 years,45,338854,13.28,108408
Norway,2012,female,15-24 years,21,321497,6.53,108408
Norway,2013,male,15-24 years,44,342484,12.85,109804
Norway,2013,female,15-24 years,20,324191,6.17,109804
Norway,2014,male,15-24 years,38,344245,11.04,103443
Norway,2014,female,15-24 years,17,325164,5.23,103443
Norway,2015,male,15-24 years,43,345115,12.46,79187
Norway,2015,female,15-24 years,17,325007,5.23,79187
Philippines,2000,male,15-24 years,316,7859202,4.02,1205
Philippines,2000,female,15-24 years,120,7579338,1.58,1205
Philippines,2001,male,15-24 years,310,8018698,3.87,1109
Philippines,2001,female,15-24 years,104,7738503,1.34,1109
Philippines,2002,male,15-24 years,346,8184036,4.23,1158
Philippines,2002,female,15-24 years,114,7903007,1.44,1158
Philippines,2003,male,15-24 years,328,8353621,3.93,1169
Philippines,2003,female,15-24 years,166,8067958,2.06,1169
Philippines,2006,male,15-24 years,400,8792762,4.55,1599
Philippines,2006,female,15-24 years,146,8479381,1.72,1599
Philippines,2007,male,15-24 years,430,8891042,4.84,1915
Philippines,2007,female,15-24 years,158,8579154,1.84,1915
Philippines,2008,male,15-24 years,441,9009351,4.89,2188
Philippines,2008,female,15-24 years,171,8697827,1.97,2188
Philippines,2009,male,15-24 years,475,9146246,5.19,2073
Philippines,2009,female,15-24 years,232,8838722,2.62,2073
Philippines,2010,male,15-24 years,503,9293357,5.41,2412
Philippines,2010,female,15-24 years,218,8994318,2.42,2412
Philippines,2011,male,15-24 years,541,9485777,5.7,2662
Philippines,2011,female,15-24 years,221,9155053,2.41,2662
Poland,2000,male,15-24 years,649,3281737,19.78,4744
Poland,2000,female,15-24 years,96,3161840,3.04,4744
Poland,2001,male,15-24 years,644,3294844,19.55,5249
Poland,2001,female,15-24 years,76,3172760,2.4,5249
Poland,2002,male,15-24 years,646,3281123,19.69,5466
Poland,2002,female,15-24 years,84,3157831,2.66,5466
Poland,2003,male,15-24 years,638,3262192,19.56,5983
Poland,2003,female,15-24 years,76,3138681,2.42,5983
Poland,2004,male,15-24 years,666,3226847,20.64,7014
Poland,2004,female,15-24 years,84,3103522,2.71,7014
Poland,2005,male,15-24 years,630,3179905,19.81,8417
Poland,2005,female,15-24 years,71,3056685,2.32,8417
Poland,2006,male,15-24 years,593,3125615,18.97,9485
Poland,2006,female,15-24 years,78,3003407,2.6,9485
Poland,2007,male,15-24 years,580,3053708,18.99,11816
Poland,2007,female,15-24 years,73,2937109,2.49,11816
Poland,2008,male,15-24 years,579,2956692,19.58,14721
Poland,2008,female,15-24 years,86,2845069,3.02,14721
Poland,2009,male,15-24 years,608,2851473,21.32,12141
Poland,2009,female,15-24 years,75,2740576,2.74,12141
Poland,2010,male,15-24 years,547,2706883,20.21,13304
Poland,2010,female,15-24 years,49,2596537,1.89,13304
Poland,2011,male,15-24 years,515,2616051,19.69,14686
Poland,2011,female,15-24 years,58,2507255,2.31,14686
Poland,2012,male,15-24 years,509,2533873,20.09,13894
Poland,2012,female,15-24 years,59,2427848,2.43,13894
Poland,2013,male,15-24 years,497,2443545,20.34,14552
Poland,2013,female,15-24 years,63,2339251,2.69,14552
Poland,2014,male,15-24 years,527,2357793,22.35,15119
Poland,2014,female,15-24 years,71,2256197,3.15,15119
Poland,2015,male,15-24 years,440,2274111,19.35,13228
Poland,2015,female,15-24 years,61,2176442,2.8,13228
Sri Lanka,2000,male,15-24 years,615,1815183,33.88,953
Sri Lanka,2000,female,15-24 years,504,1776940,28.36,953
Sri Lanka,2001,male,15-24 years,508,1811743,28.04,912
Sri Lanka,2001,female,15-24 years,394,1778830,22.15,912
Sri Lanka,2002,male,15-24 years,520,1799884,28.89,951
Sri Lanka,2002,female,15-24 years,335,1772766,18.9,951
Sri Lanka,2003,male,15-24 years,509,1781707,28.57,1077
Sri Lanka,2003,female,15-24 years,358,1760232,20.34,1077
Sri Lanka,2006,male,15-24 years,423,1697398,24.92,1580
Sri Lanka,2006,female,15-24 years,333,1699144,19.6,1580
Thailand,2000,male,15-24 years,961,5473800,17.56,2169
Thailand,2000,female,15-24 years,248,5314448,4.67,2169
Thailand,2002,male,15-24 years,743,5384313,13.8,2305
Thailand,2002,female,15-24 years,199,5194271,3.83,2305
Thailand,2003,male,15-24 years,579,5371988,10.78,2531
Thailand,2003,female,15-24 years,177,5249392,3.37,2531
Thailand,2004,male,15-24 years,486,5311644,9.15,2849
Thailand,2004,female,15-24 years,162,5201780,3.11,2849
Thailand,2005,male,15-24 years,458,5246514,8.73,3094
Thailand,2005,female,15-24 years,117,5146603,2.27,3094
Thailand,2006,male,15-24 years,378,5162684,7.32,3598
Thailand,2006,female,15-24 years,91,5071455,1.79,3598
Thailand,2007,male,15-24 years,406,4948804,8.2,4461
Thailand,2007,female,15-24 years,89,4762664,1.87,4461
Thailand,2008,male,15-24 years,374,4934951,7.58,4921
Thailand,2008,female,15-24 years,97,4741877,2.05,4921
Thailand,2009,male,15-24 years,369,4914657,7.51,4736
Thailand,2009,female,15-24 years,100,4716781,2.12,4736
Thailand,2010,male,15-24 years,387,4905031,7.89,5707
Thailand,2010,female,15-24 years,120,4702548,2.55,5707
Thailand,2011,male,15-24 years,357,4929387,7.24,6153
Thailand,2011,female,15-24 years,95,4723611,2.01,6153
Thailand,2012,male,15-24 years,369,4938617,7.47,6584
Thailand,2012,female,15-24 years,84,4728702,1.78,6584
Thailand,2013,male,15-24 years,331,4956860,6.68,6917
Thailand,2013,female,15-24 years,88,4741021,1.86,6917
Thailand,2014,male,15-24 years,337,4935213,6.83,6662
Thailand,2014,female,15-24 years,49,4717317,1.04,6662
Thailand,2015,male,15-24 years,317,4847684,6.54,6552
Thailand,2015,female,15-24 years,55,4632371,1.19,6552
Thailand,2016,male,15-24 years,322,4736305,6.8,6713
Thailand,2016,female,15-24 years,60,4525574,1.33,6713
United Arab Emirates,2005,female,15-24 years,7,281194,2.49,42196
United Arab Emirates,2005,male,15-24 years,7,454397,1.54,42196
United Arab Emirates,2006,male,15-24 years,7,595516,1.18,45110
United Arab Emirates,2006,female,15-24 years,1,317537,0.31,45110
United Arab Emirates,2007,male,15-24 years,18,710296,2.53,45285
United Arab Emirates,2007,female,15-24 years,4,350408,1.14,45285
United Arab Emirates,2008,male,15-24 years,18,776831,2.32,48457
United Arab Emirates,2008,female,15-24 years,4,374233,1.07,48457
United Arab Emirates,2009,male,15-24 years,15,780955,1.92,34960
United Arab Emirates,2009,female,15-24 years,7,385569,1.82,34960
United Arab Emirates,2010,female,15-24 years,6,385198,1.56,36964
United Arab Emirates,2010,male,15-24 years,10,730245,1.37,36964
United Kingdom,2000,male,15-24 years,390,3709456,10.51,29358
United Kingdom,2000,female,15-24 years,101,3523496,2.87,29358
United Kingdom,2001,male,15-24 years,361,3650328,9.89,29179
United Kingdom,2001,female,15-24 years,72,3581981,2.01,29179
United Kingdom,2002,male,15-24 years,323,3758190,8.59,31630
United Kingdom,2002,female,15-24 years,90,3642294,2.47,31630
United Kingdom,2003,male,15-24 years,316,3854815,8.2,36289
United Kingdom,2003,female,15-24 years,91,3718206,2.45,36289
United Kingdom,2004,male,15-24 years,315,3953382,7.97,42486
United Kingdom,2004,female,15-24 years,88,3785230,2.32,42486
United Kingdom,2005,male,15-24 years,296,4029567,7.35,44372
United Kingdom,2005,female,15-24 years,88,3856149,2.28,44372
United Kingdom,2006,male,15-24 years,308,4108191,7.5,47163
United Kingdom,2006,female,15-24 years,74,3911869,1.89,47163
United Kingdom,2007,male,15-24 years,309,4193170,7.37,53576
United Kingdom,2007,female,15-24 years,70,3963103,1.77,53576
United Kingdom,2008,male,15-24 years,323,4214828,7.66,50111
United Kingdom,2008,female,15-24 years,81,4000750,2.02,50111
United Kingdom,2009,male,15-24 years,332,4210903,7.88,41074
United Kingdom,2009,female,15-24 years,84,4009556,2.09,41074
United Kingdom,2010,male,15-24 years,344,4225926,8.14,41798
United Kingdom,2010,female,15-24 years,106,3995780,2.65,41798
United Kingdom,2011,male,15-24 years,346,4236989,8.17,44491
United Kingdom,2011,female,15-24 years,100,4001855,2.5,44491
United Kingdom,2012,male,15-24 years,364,4204765,8.66,44585
United Kingdom,2012,female,15-24 years,70,4054017,1.73,44585
United Kingdom,2013,male,15-24 years,331,4180873,7.92,45594
United Kingdom,2013,female,15-24 years,81,4017291,2.02,45594
United Kingdom,2014,male,15-24 years,332,4171187,7.96,49906
United Kingdom,2014,female,15-24 years,103,3992566,2.58,49906
United Kingdom,2015,male,15-24 years,374,4151992,9.01,47240
United Kingdom,2015,female,15-24 years,104,3966564,2.62,47240
United States,2000,male,15-24 years,3424,20078818,17.05,39218
United States,2000,female,15-24 years,570,19105073,2.98,39218
United States,2001,male,15-24 years,3409,20485156,16.64,40018
United States,2001,female,15-24 years,562,19463211,2.89,40018
United States,2002,male,15-24 years,3432,20821269,16.48,40845
United States,2002,female,15-24 years,578,19768514,2.92,40845
United States,2003,male,15-24 years,3381,21182602,15.96,42468
United States,2003,female,15-24 years,607,20023561,3.03,42468
United States,2004,male,15-24 years,3596,21438383,16.77,44867
United States,2004,female,15-24 years,720,20262722,3.55,44867
United States,2005,male,15-24 years,3498,21647159,16.16,47423
United States,2005,female,15-24 years,714,20429690,3.49,47423
United States,2006,male,15-24 years,3528,21844954,16.15,49666
United States,2006,female,15-24 years,661,20590472,3.21,49666
United States,2007,male,15-24 years,3481,22014323,15.81,51585
United States,2007,female,15-24 years,659,20765167,3.17,51585
United States,2008,male,15-24 years,3560,22184611,16.05,52128
United States,2008,female,15-24 years,738,21149435,3.49,52128
United States,2009,male,15-24 years,3595,22343137,16.09,50563
United States,2009,female,15-24 years,776,21299140,3.64,50563
United States,2010,male,15-24 years,3772,22463069,16.79,51989
United States,2010,female,15-24 years,830,21395712,3.88,51989
United States,2011,male,15-24 years,3959,22622559,17.5,53452
United States,2011,female,15-24 years,863,21552069,4,53452
United States,2012,male,15-24 years,3918,22713083,17.25,55170
United States,2012,female,15-24 years,954,21653970,4.41,55170
United States,2013,male,15-24 years,3903,22735631,17.17,56520
United States,2013,female,15-24 years,975,21698877,4.49,56520
United States,2014,male,15-24 years,4089,22700273,18.01,58531
United States,2014,female,15-24 years,990,21691057,4.56,58531
United States,2015,male,15-24 years,4359,22615073,19.27,60387
United States,2015,female,15-24 years,1132,21633813,5.23,60387
